Source,Law or Act,"Section, Subsection(s)",Link,Description,Notes
State,Public Health Law,§4173,http://public.leginfo.state.ny.us/LAWSSEAF.cgi?QUERYTYPE=LAWS+&QUERYDATA=$$PBH4173$$@TXPBH04173+&LIST=LAW+&BROWSER=BROWSER+&TOKEN=48986629+&TARGET=VIEW,Birth certificate,
State,Social Services Law,§422,http://public.leginfo.state.ny.us/LAWSSEAF.cgi?QUERYTYPE=LAWS+&QUERYDATA=$$SOS422$$@TXSOS0422+&LIST=LAW+&BROWSER=BROWSER+&TOKEN=48986629+&TARGET=VIEW,Child Abuse,
State,Executive Law,§633,http://public.leginfo.state.ny.us/LAWSSEAF.cgi?QUERYTYPE=LAWS+&QUERYDATA=$$EXC633$$@TXEXC0633+&LIST=LAW+&BROWSER=BROWSER+&TOKEN=48986629+&TARGET=VIEW,Crime Victims Compensation Claims,
State,Executive Law,§837(8),http://public.leginfo.state.ny.us/LAWSSEAF.cgi?QUERYTYPE=LAWS+&QUERYDATA=$$EXC837$$@TXEXC0837+&LIST=LAW+&BROWSER=BROWSER+&TOKEN=48986629+&TARGET=VIEW,Criminal history records maintained by DCJS,
State,Public Health Law,§4174,http://public.leginfo.state.ny.us/LAWSSEAF.cgi?QUERYTYPE=LAWS+&QUERYDATA=$$PBH4174$$@TXPBH04174+&LIST=LAW+&BROWSER=BROWSER+&TOKEN=48986629+&TARGET=VIEW,Death Certificate,
State,Vehicle and Traffic Law,§504(3),http://public.leginfo.state.ny.us/LAWSSEAF.cgi?QUERYTYPE=LAWS+&QUERYDATA=$$VAT504$$@TXVAT0504+&LIST=LAW+&BROWSER=BROWSER+&TOKEN=48986629+&TARGET=VIEW,Driver License Photo,
Federal,42 USC,§290ee-3,http://uscode.house.gov/view.xhtml?path=/prelim@title42/chapter6A/A&edition=prelim,Drug treatment,
State,County Law,§308(4),http://public.leginfo.state.ny.us/LAWSSEAF.cgi?QUERYTYPE=LAWS+&QUERYDATA=$$CNT308$$@TXCNT0308+&LIST=LAW+&BROWSER=BROWSER+&TOKEN=48986629+&TARGET=VIEW,E-911 Calls,
Federal,20 USC,§1232g,http://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title20-section1232g&num=0&edition=prelim,Education records pertaining to students,
State,Environmental Conservation Law,§3-0301(2)(r),http://public.leginfo.state.ny.us/LAWSSEAF.cgi?QUERYTYPE=LAWS+&QUERYDATA=$$ENV3-0301$$@TXENV03-0301+&LIST=LAW+&BROWSER=BROWSER+&TOKEN=48986629+&TARGET=VIEW,Endangered flora and fauna,
State,Criminal Procedure Law,§190.25,http://public.leginfo.state.ny.us/LAWSSEAF.cgi?QUERYTYPE=LAWS+&QUERYDATA=$$CPL190.25$$@TXCPL0190.25+&LIST=LAW+&BROWSER=BROWSER+&TOKEN=48986629+&TARGET=VIEW,Grand jury records,
State,Public Health Law,§2805-m,http://public.leginfo.state.ny.us/LAWSSEAF.cgi?QUERYTYPE=LAWS+&QUERYDATA=$$PBH2805-M$$@TXPBH02805-M+&LIST=LAW+&BROWSER=BROWSER+&TOKEN=48986629+&TARGET=VIEW,Hospital incident reports,
State,Executive Law,§297(8),http://public.leginfo.state.ny.us/LAWSSEAF.cgi?QUERYTYPE=LAWS+&QUERYDATA=$$EXC297$$@TXEXC0297+&LIST=LAW+&BROWSER=BROWSER+&TOKEN=48986629+&TARGET=VIEW,Human Rights discrimination records,
State,Tax Law,§697(e),http://public.leginfo.state.ny.us/LAWSSEAF.cgi?QUERYTYPE=LAWS+&QUERYDATA=$$TAX697$$@TXTAX0697+&LIST=LAW+&BROWSER=BROWSER+&TOKEN=48986629+&TARGET=VIEW,Income Tax,
State,Civil Practice Law and Rules,§4509,http://public.leginfo.state.ny.us/LAWSSEAF.cgi?QUERYTYPE=LAWS+&QUERYDATA=$$CVP4509$$@TXCVP04509+&LIST=LAW+&BROWSER=BROWSER+&TOKEN=48986629+&TARGET=VIEW,Library Records,
State,Civil Practice Law and Rules,§3101(d),http://public.leginfo.state.ny.us/LAWSSEAF.cgi?QUERYTYPE=LAWS+&QUERYDATA=$$CVP3101$$@TXCVP03101+&LIST=LAW+&BROWSER=BROWSER+&TOKEN=48986629+&TARGET=VIEW,Material prepared solely for litigation,
State,Domestic Relations Law,§235,http://public.leginfo.state.ny.us/LAWSSEAF.cgi?QUERYTYPE=LAWS+&QUERYDATA=$$DOM235$$@TXDOM0235+&LIST=LAW+&BROWSER=BROWSER+&TOKEN=48986629+&TARGET=VIEW,Matrimonial proceedings,
State,Education Law,§6527,http://public.leginfo.state.ny.us/LAWSSEAF.cgi?QUERYTYPE=LAWS+&QUERYDATA=$$EDN6527$$@TXEDN06527+&LIST=LAW+&BROWSER=BROWSER+&TOKEN=48986629+&TARGET=VIEW,Medical review function,
State,Public Health Law,§2805-m,http://public.leginfo.state.ny.us/LAWSSEAF.cgi?QUERYTYPE=LAWS+&QUERYDATA=$$PBH2805-M$$@TXPBH02805-M+&LIST=LAW+&BROWSER=BROWSER+&TOKEN=48986629+&TARGET=VIEW,Medical privileges,
State,Public Health Law,§18,http://public.leginfo.state.ny.us/LAWSSEAF.cgi?QUERYTYPE=LAWS+&QUERYDATA=$$PBH18$$@TXPBH018+&LIST=LAW+&BROWSER=BROWSER+&TOKEN=48986629+&TARGET=VIEW,Medical records,see (1)(9) for qualified persons/disabilities; see also §2997a
State,Public Health Law,§206(1)(j),http://public.leginfo.state.ny.us/LAWSSEAF.cgi?QUERYTYPE=LAWS+&QUERYDATA=$$PBH206$$@TXPBH0206+&LIST=LAW+&BROWSER=BROWSER+&TOKEN=48986629+&TARGET=VIEW,Medical audits,
State,Public Health Law,§2805-m,http://public.leginfo.state.ny.us/LAWSSEAF.cgi?QUERYTYPE=LAWS+&QUERYDATA=$$PBH2805-M$$@TXPBH02805-M+&LIST=LAW+&BROWSER=BROWSER+&TOKEN=48986629+&TARGET=VIEW,Medical malpractice,
State,Public Health Law,§2803-c,http://public.leginfo.state.ny.us/LAWSSEAF.cgi?QUERYTYPE=LAWS+&QUERYDATA=$$PBH2803-C$$@TXPBH02803-C+&LIST=LAW+&BROWSER=BROWSER+&TOKEN=48986629+&TARGET=VIEW,Medical treatment records,
State,Social Services Law,§461-e(7),http://public.leginfo.state.ny.us/LAWSSEAF.cgi?QUERYTYPE=LAWS+&QUERYDATA=$$SOS461-E$$@TXSOS0461-E+&LIST=LAW+&BROWSER=BROWSER+&TOKEN=48986629+&TARGET=VIEW,"Medical, social, or financial records of residents or final reports of adult care facilities",
State,Family Court Act,§784,http://public.leginfo.state.ny.us/LAWSSEAF.cgi?QUERYTYPE=LAWS+&QUERYDATA=$$FCT784$$@TXFCT0784+&LIST=LAW+&BROWSER=BROWSER+&TOKEN=48986629+&TARGET=VIEW,Polic records concerning juveniles,
State,Civil Rights Law,§50-a,http://public.leginfo.state.ny.us/LAWSSEAF.cgi?QUERYTYPE=LAWS+&QUERYDATA=$$CVR50-A$$@TXCVR050-A+&LIST=LAW+&BROWSER=BROWSER+&TOKEN=48986629+&TARGET=VIEW,Police and correction officers personnel records,
State,Criminal Procedure Law,§390.50,http://public.leginfo.state.ny.us/LAWSSEAF.cgi?QUERYTYPE=LAWS+&QUERYDATA=$$CPL390.50$$@TXCPL0390.50+&LIST=LAW+&BROWSER=BROWSER+&TOKEN=48986629+&TARGET=VIEW,Pre-sentence reports,
State,Public Health Law,§230,http://public.leginfo.state.ny.us/LAWSSEAF.cgi?QUERYTYPE=LAWS+&QUERYDATA=$$PBH230$$@TXPBH0230+&LIST=LAW+&BROWSER=BROWSER+&TOKEN=48986629+&TARGET=VIEW,Professional medical conduct,
State,Education Law,§6510(8),http://public.leginfo.state.ny.us/LAWSSEAF.cgi?QUERYTYPE=LAWS+&QUERYDATA=$$EDN6510$$@TXEDN06510+&LIST=LAW+&BROWSER=BROWSER+&TOKEN=48986629+&TARGET=VIEW,Professional discipline (licensees of State Education Department),
State,Environmental Conservation Law,§17-0805,http://public.leginfo.state.ny.us/LAWSSEAF.cgi?QUERYTYPE=LAWS+&QUERYDATA=$$ENV17-0805$$@TXENV017-0805+&LIST=LAW+&BROWSER=BROWSER+&TOKEN=48986629+&TARGET=VIEW,State pollutant discharge elimination system (SPDES) records,
State,Labor Law,§537,http://public.leginfo.state.ny.us/LAWSSEAF.cgi?QUERYTYPE=LAWS+&QUERYDATA=$$LAB537$$@TXLAB0537+&LIST=LAW+&BROWSER=BROWSER+&TOKEN=48986629+&TARGET=VIEW,Unemployment insurance claims,
State,Civil Rights Law,§50-b,http://public.leginfo.state.ny.us/LAWSSEAF.cgi?QUERYTYPE=LAWS+&QUERYDATA=$$CVR50-B$$@TXCVR050-B+&LIST=LAW+&BROWSER=BROWSER+&TOKEN=48986629+&TARGET=VIEW,Victims of sex offenses,
State,Workers' Compensation Law,§110-a,http://public.leginfo.state.ny.us/LAWSSEAF.cgi?QUERYTYPE=LAWS+&QUERYDATA=$$WKC110-A$$@TXWKC0110-A+&LIST=LAW+&BROWSER=BROWSER+&TOKEN=48986629+&TARGET=VIEW,Workers' Compensation records,
State,Criminal Procedure Law,§720.35,http://public.leginfo.state.ny.us/LAWSSEAF.cgi?QUERYTYPE=LAWS+&QUERYDATA=$$CPL720.35$$@TXCPL0720.35+&LIST=LAW+&BROWSER=BROWSER+&TOKEN=48986629+&TARGET=VIEW,Youthful offenders,
State,Executive Law,§501-c,http://public.leginfo.state.ny.us/LAWSSEAF.cgi?QUERYTYPE=LAWS+&QUERYDATA=$$EXC501-C$$@TXEXC0501-C+&LIST=LAW+&BROWSER=BROWSER+&TOKEN=48986629+&TARGET=VIEW,Youths in custody of Office of Children and Family Services,
State,"Parks, Recreation and Historic Preservation Law",§14.07(1)(f),,Archeological / Historic Sites,
State,Public Authorities Law,§1209-A(4)(f),,MTA Transit Adjudication Bureau civil charges and dispositions,
State,Public Authorities Law,§1285-g(3)(b)(vii),,,
State,Public Health Law s 998-e,998-e,,,
